cid,smiles,NR3C1
10077147,Ic1cnc(Nc2cccc(NC(=O)N3CCCC3)c2)nc1NCCCNC(=O)c4cccs4,0
54646116,COC(=O)C[C@H]1C[C@@H]2[C@@H](Oc3ccc(N)cc23)[C@@H](CO)O1,0
54638575,COc1cccc(c1)S(=O)(=O)N[C@H]2CC[C@H](CCN)O[C@@H]2CO,0
54632106,CO[C@H]1CN(C)C(=O)c2cc(NC(=O)Cc3ccccc3)ccc2OC[C@H](C)N(C[C@@H]1C)C(=O)C,0
54660649,COCC(=O)N1[C@@H]2CN3C(=O)C(=CC=C3[C@H]1[C@H]([C@@H]2CO)C(=O)N4CCOCC4)\C=C\c5ccccc5,0
53338807,OP(=O)(O)c1ccc2c3ccccc3C(=O)c2c1,0
5702034,CC(=O)OCC(=O)[C@H]1CCC2C3CCC4=CC(=O)CC[C@]4(C)C3CC[C@]12C,0
54613918,C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2ccc3OCOc3c2)Oc4ccc(NC(=O)CCCN(C)C)cc4CC1=O,0
54666589,CC(C)(O)C#Cc1ccc(cc1)[C@@H]2[C@@H](CO)N3CCCCN(C[C@@H]23)S(=O)(=O)C,0
54618614,C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)Cc2cncnc2)Oc3cc(ccc3S1(=O)=O)C#CC4CCCC4,0
54646265,OC[C@H]1O[C@@H](CC(=O)NCCN2CCCCC2)C[C@@H]3[C@H]1Oc4ccc(NC(=O)Nc5ccccc5)cc34,0
54618284,C\C=C\c1cnc2O[C@@H](CN(C)S(=O)(=O)c3cn(C)cn3)[C@@H](C)CN([C@@H](C)CO)C(=O)c2c1,0
60187471,COc1ccc2c3c([nH]c2c1)[C@@H](CO)N(CC34CN(Cc5cccnc5)C4)C(=O)CC6CC6,0
44617843,CC(C)NC(=O)Nc1ccc2O[C@@H](C)CCCCO[C@@H](CN(C)C(=O)NC(C)C)[C@H](C)CN([C@@H](C)CO)C(=O)c2c1,0
44489301,CC(C)NC(=O)Nc1ccc2O[C@@H](C)CCCCO[C@@H](CN(C)C)[C@@H](C)CN([C@@H](C)CO)C(=O)c2c1,0
56835597,COCCNC(=O)c1cc2CN([C@@H](CCO)c2c(n1)c3cccc(c3)c4cccc(F)c4)S(=O)C(C)(C)C,0
44485929,COc1ccc(CN(C)C[C@H]2Oc3ccc(NC(=O)Cc4ccccc4)cc3C(=O)N(C[C@@H]2C)[C@@H](C)CO)cc1,0
54654526,COC(=O)C[C@@H]1CC[C@H]2[C@H](COc3ccc(NC(=O)c4ccccc4F)cc3C(=O)N2C)O1,0
54615017,CC(C)NC(=O)Nc1ccc2O[C@@H](C)CCCCO[C@@H](CN(C)C(=O)NC3CCCCC3)[C@@H](C)CN([C@H](C)CO)C(=O)c2c1,0
60185133,O=C(Nc1ccc2OCOc2c1)N3C[C@@H]4N[C@H](C3)[C@@H]4c5ccc(cc5)c6ccc(cc6)C#N,0
5311191,CCCN1CCc2cccc3c2[C@@H]1Cc4ccc(O)c(O)c34,1
54638751,OC[C@@H]1O[C@H](CCNC(=O)CCN2CCCCC2)CC[C@@H]1NS(=O)(=O)c3cccc(Cl)c3,0
54664858,OC[C@@H]1Nc2ccc(cc2[C@@H]3[C@H]1CCN3S(=O)(=O)c4ccc(F)cc4)c5cccc(c5)C#N,0
5354,CCCCCCCCNC(C)C(O)c1ccc(SC(C)C)cc1,0
9838712,CC(C)Cc1ccc(cc1)[C@@H](C)C(=O)NS(=O)(=O)C,0
54666652,COCC#Cc1ccc(cc1)[C@H]2[C@@H](CO)N3CCCCN(Cc4ccncc4)C[C@H]23,0
44505740,C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)S(=O)(=O)C)OCc2cn(CCCC1=O)nn2,0
54660937,CCNC(=O)[C@@H]1[C@@H](CO)[C@@H]2CN3C(=O)C(=CC=C3[C@@H]2N1C(=O)CC4CC4)C=CC,0
3000022,CCCn1c(NC(=O)c2cccc(c2)S(=O)(=O)N3CCCC3)nc4ccccc14,0
54660820,CN(C)C(=O)[C@H]1[C@H](CO)[C@H]2CN3C(=CC=C(C3=O)c4cncnc4)[C@@H]1N2C(=O)NC5CCCC5,0
54618137,CC(C)C#Cc1ccc2c(O[C@@H](CN(C)S(=O)(=O)c3cn(C)cn3)[C@H](C)CN([C@H](C)CO)S2(=O)=O)c1,0
60191437,COc1cccc(NC(=O)N2C[C@@H]3[C@@H]([C@H](CO)N3C(=O)C2)c4ccc(cc4)C#CCC5CCCC5)c1,0
5702266,CC(=O)OCC(=O)[C@@]12OC3(CCCC3)O[C@@H]1CC4C5CCC6=CC(=O)C=C[C@]6(C)[C@@]5(F)[C@@H](O)C[C@]24C,0
4622,CCCOc1ccc2nc(NC(=O)OC)[nH]c2c1,1
54615082,C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)CC2CC2)OCCCC[C@H](C)Oc3ccc(NS(=O)(=O)c4ccc(F)cc4)cc3C1=O,0
44490236,C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)CCCN(C)C)OCCCC[C@@H](C)Oc2ccc(NS(=O)(=O)c3cccs3)cc2C1=O,0
44202057,COc1ccc(cc1)S(=O)(=O)N(C)C[C@H]2Oc3c(NC(=O)NC4CCCCC4)cccc3C(=O)N(C[C@@H]2C)[C@H](C)CO,0
11949652,Cc1cc(N2CCN(CC2)[C@@H]3CN[C@@H](C3)C(=O)N4CCSC4)n(n1)c5ccccc5,0
54618970,C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)Cc2ccncc2)Oc3cc(ccc3S1(=O)=O)C#CCN(C)C,0
5474706,COc1ccc2[nH]c3C(=NCCc3c2c1)C,1
54638517,CN(C)CCCNC(=O)C[C@H]1CC[C@H](NS(=O)(=O)c2ccc(C)cc2)[C@H](CO)O1,0
3352,Nc1c(c(nn1c2c(Cl)cc(cc2Cl)C(F)(F)F)C#N)S(=O)C(F)(F)F,0
54638630,CC(C)c1cn(CC[C@@H]2CC[C@@H](NC(=O)C3CC3)[C@@H](CO)O2)nn1,0
54621029,C[C@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2cccc(F)c2)Oc3ncc(cc3C1=O)C4=CCCCC4,0
60184876,Clc1ccc(NC(=O)N2[C@@H]3CNC[C@H]2[C@@H]3c4ccc(cc4)c5ccc(cc5)C#N)cc1,0
54637681,C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)C(=O)[C@@H]2CCCN2C)OCc3ccccc3c4c(C1=O)n(C)c5ccccc45,0
60190031,COc1ccc2c3c([C@H](CO)N(Cc4ccccc4Cl)CC35CCN(CC5)C(=O)CC6CC6)n(C)c2c1,0
74812,COc1cc(c(O)cc1C(C)(C)C)C(C)(C)C,0
60189464,COc1cccc(NC(=O)N2C[C@H]3[C@H]([C@H](CO)N3C(=O)C2)c4ccc(cc4)C5=CCCCC5)c1,0
2741632,CC(C)(C)NC(=O)N1CCN(CC1)c2ncccc2C(F)(F)F,0
44496035,CC(C)NC(=O)N(C)C[C@@H]1OCCCC[C@H](C)Oc2ccc(NC(=O)Nc3ccccc3)cc2C(=O)N(C[C@H]1C)[C@@H](C)CO,0
702558,OC(=O)[C@H](Cc1c[nH]c2ccccc12)N3C(=O)c4ccccc4C3=O,1
54657600,COc1ccccc1NC(=O)N2C[C@H](O)COC[C@H]3O[C@H](CC(=O)N4CCC(Cc5ccccc5)CC4)CC[C@H]23,0
54654252,COc1cccc(CNC(=O)C[C@H]2CC[C@H]3[C@@H](COc4ccc(NS(=O)(=O)c5ccccc5F)cc4C(=O)N3C)O2)c1,0
54649517,CO[C@@H]1CC[C@H]2CCN(C)C(=O)[C@H](C)[C@H](CN(C)C(=O)c3cc(ccc3OC[C@@H]1O2)C#N)OC,0
54613934,CC(C)NC(=O)Nc1ccc2O[C@H](CN(C)C)[C@@H](C)CN([C@H](C)CO)C(=O)Cc2c1,0
3765615,CC1(C)CC(=O)C(C2C3=C(CC(C)(C)CC3=O)Oc4ccccc24)C(=O)C1,0
54631433,CO[C@@H]1CN(C)C(=O)c2cc(NC(=O)C3CCOCC3)ccc2OC[C@@H](C)N(C[C@H]1C)S(=O)(=O)c4ccc(Cl)cc4,0
4592,Cn1cnc2c(NCc3ccccc3)nc(NCCO)nc12,1
2225472,[O-][N+](=O)c1ccc2c(Cl)c(sc2c1)C(=O)NCCCN3CCOCC3,0
1183113,Brc1ccccc1OCC(=O)NCCc2nc3ccccc3[nH]2,0
108137,Cc1nc2c(OCc3ccccc3)cccn2c1CC#N,1
54632201,COCC(=O)N1C[C@@H](C)[C@@H](CN(C)C(=O)c2cc(NC(=O)c3ccc(cc3)c4ccccc4)ccc2OC[C@H]1C)OC,0
54646543,CN1CCN(CC1)C(=O)C[C@H]2C[C@H]3[C@H](Oc4ccc(NC(=O)Cc5ccncc5)cc34)[C@@H](CO)O2,0
60189804,CC(=O)N1[C@H](CO)[C@@H](c2ccc(cc2)c3ccc(cc3)C#N)C14CN(C4)C(=O)C5CC5,0
54645846,OC[C@H]1O[C@@H](CC(=O)NCc2cccnc2)C[C@H]3[C@@H]1Oc4ccc(NS(=O)(=O)c5ccc(F)cc5)cc34,0
54651465,CCN(C[C@H]1[C@@H]([C@@H](CO)N1C(=O)C2CCC2)c3ccc(\C=C\C)cc3)C(=O)CC,0
54649252,CO[C@@H](CN(C)C(=O)c1cnccn1)[C@@H](C)CN([C@H](C)CO)S(=O)(=O)c2ccc(C)cc2,0
54660952,CC(=O)N1[C@@H]([C@@H](CO)[C@@H]2CN3C(=CC=C(C3=O)c4cncnc4)[C@H]12)C(=O)NCc5ccccc5Cl,0
51358831,C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)C(=O)Nc2ccc(cc2)N3CCN(C)CC3)OCc4cn(CCCC1=O)nn4,0
158781,CCCc1nc(c(C(=O)O)n1Cc2ccc(cc2)c3ccccc3c4nn[nH]n4)C(C)(C)O,0
54645984,OC[C@H]1O[C@H](CC(=O)NCc2ccccc2)C[C@@H]3[C@H]1Oc4ccc(NC(=O)Nc5ccccc5)cc34,0
44505802,C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)C(=O)NC2CCCCC2)OCc3cn(CCCC1=O)nn3,0
54646178,COc1ccccc1CNC(=O)C[C@H]2C[C@H]3[C@H](Oc4ccc(NC(=O)C5CCOCC5)cc34)[C@@H](CO)O2,0
16759997,CC(C)(C)NC[C@H](O)COc1cccc2[nH]c(cc12)C#N,0
54654589,COc1cccc(c1)C(=O)Nc2ccc3OC[C@@H]4O[C@H](CC(=O)NCCCN5CCOCC5)CC[C@@H]4N(C)C(=O)c3c2,0
54618754,CCCNC(=O)N(C)C[C@H]1Oc2cc(ccc2S(=O)(=O)N(C[C@@H]1C)[C@H](C)CO)C#CC(C)(C)O,0
54651274,CC(C)N(C[C@@H]1N[C@@H](CO)[C@@H]1c2ccccc2)S(=O)(=O)c3ccccc3,0
54661376,CCN1[C@H]([C@H](CO)[C@H]2CN3C(=CC=C(C=CC)C3=O)[C@@H]12)C(=O)NC4Cc5ccccc5C4,0
54618585,C[C@@H](O)C#Cc1cnc2O[C@@H](CN(C)CC3CCOCC3)[C@H](C)CN([C@@H](C)CO)C(=O)c2c1,0
10660,CN(C)CCOC(c1ccccc1)c2ccccc2.CN3C(=O)N(C)c4nc(Cl)[nH]c4C3=O,0
20507134,CN1C(C(=O)Nc2cc(C)on2)C(=O)c3ccccc3S1(=O)=O,0
54631524,CO[C@@H]1CN(C)C(=O)c2cc(NC(=O)Nc3ccccc3Cl)ccc2OC[C@@H](C)N(C[C@H]1C)S(=O)(=O)CC(F)(F)F,0
54631697,CO[C@@H]1CN(C)C(=O)c2ccc(NS(=O)(=O)CC(F)(F)F)cc2OC[C@@H](C)NC[C@@H]1C,0
44496834,C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)Cc2ccc(cc2)C(F)(F)F)OCc3cnnn3CCCC1=O,0
11620908,CC(C)(O)CC(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(c4)C(F)(F)F)c(Cl)c3)c12,0
54638544,OC[C@@H]1O[C@@H](CC(=O)NCc2cc(F)cc(F)c2)C=C[C@H]1NC(=O)c3ccccn3,0
54651249,COCC(=O)NC[C@@H]1[C@@H]([C@H](CO)N1C(=O)c2ccccc2)c3ccccc3,0
54666584,CC(C)(O)C#Cc1ccc(cc1)[C@H]2[C@@H](CO)N3CCCCN(C[C@@H]23)S(=O)(=O)C,0
54646540,CN(C)c1ccc2O[C@@H]3[C@H](CO)O[C@H](CC(=O)NCc4ccc5OCOc5c4)C[C@@H]3c2c1,0
54647490,CN(C)CC(=O)Nc1ccc2O[C@@H]3[C@H](CO)O[C@H](CC(=O)NCc4ccc5OCOc5c4)C[C@@H]3c2c1,0
54618165,CC(C)CC#Cc1ccc2c(O[C@@H](CN(C)C(=O)c3cnccn3)[C@@H](C)CN([C@@H](C)CO)S2(=O)=O)c1,0
54618321,COc1ccc(cc1)c2cnc3O[C@H](CN(C)C(=O)C4CCCCC4)[C@H](C)CN([C@@H](C)CO)C(=O)c3c2,0
133008,Cc1c(onc1C2CCN(CCc3ccccc3)CC2)c4ccc(Cl)cc4,1
60184987,C(C1CC1)N2[C@@H]3CNC[C@H]2[C@@H]3c4ccc(cc4)c5cccnc5,0
44485765,C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)Cc2ccc3cccnc3c2)OCc4cn(CCCC1=O)nn4,0
54631304,CO[C@H]1CN(C)C(=O)c2cc(NC(=O)C)ccc2OC[C@H](C)N(C[C@@H]1C)S(=O)(=O)c3cn(C)cn3,0
44502578,C[C@H](CO)N1C[C@@H](C)[C@@H](CN(C)C(=O)Nc2ccc(F)cc2)Oc3ccc(cc3CC1=O)N(C)C,0
60190041,COc1ccc2c3c([nH]c2c1)[C@@H](CO)N(CC34CN(C4)C(=O)c5ccccc5)C(=O)CC6CC6,0
56835567,CN(C)CC#Cc1cccc(c1)c2nc(cc3CN([C@H](CCO)c23)S(=O)C(C)(C)C)C(=O)N4CCN(C)CC4,0
199472,Oc1cc(O)c2C[C@@H](OC(=O)c3cc(O)c(O)c(O)c3)[C@@H](Oc2c1)c4cc(O)c(O)c(O)c4,0
54651450,COCC(=O)N(C[C@H]1[C@@H]([C@@H](CO)N1C(=O)C)c2ccc(\C=C\C)cc2)C(C)C,0
54660885,CCCN1[C@H]2CN3C(=CC=C(C3=O)c4cccc(c4)C(=O)N(C)C)[C@@H]1[C@@H]([C@H]2CO)C(=O)OC,0
54658844,CNC(=O)C[C@H]1CC[C@@H]2[C@H](COC[C@@H](O)CN2S(=O)(=O)c3ccccc3Cl)O1,0
54649001,CO[C@H](CN(C)C(=O)c1ccccc1F)[C@@H](C)CN([C@@H](C)CO)S(=O)(=O)c2ccc(F)cc2,0
44485114,CNC[C@H]1OCCCC[C@H](C)Oc2ccc(NS(=O)(=O)c3cccs3)cc2C(=O)N(C[C@@H]1C)[C@@H](C)CO,0
54638696,Cc1onc(C)c1NC(=O)NCC[C@H]2CC[C@@H](NC(=O)c3ccc(F)cc3)[C@@H](CO)O2,0
10253143,FC(F)(F)c1nc(Nc2ccc(Cl)cc2Cl)ncc1C(=O)NCC3CCOCC3,0
5702041,C[C@H]1O[C@H](C[C@H](O)[C@@H]1O)O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CCC6C5CC[C@]7(C)[C@H](CC[C@]67O)C8=CC(=O)OC8)C4)O[C@@H]3C)O[C@@H]2C,0
7141881,OC(=O)c1cc2occc2[nH]1,0
54631702,CO[C@@H]1CN(C)C(=O)c2ccc(NS(=O)(=O)c3cccc(OC)c3)cc2OC[C@H](C)N(Cc4ccccc4F)C[C@@H]1C,0
54646629,OC[C@H]1O[C@@H](CC(=O)NCC(F)(F)F)C[C@H]2[C@@H]1Oc3ccc(NC(=O)c4cccnc4)cc23,0
23612550,COc1ccc(cc1)C2(CC2)C(=O)N3CCC(CC3)N4N=C(OC4=O)c5ccccc5,0
54638366,OC[C@@H]1O[C@H](CC(=O)NCCN2CCCCC2)C=C[C@H]1NC(=O)c3cccnc3,0
54649005,CO[C@@H](CN(C)Cc1cc(F)ccc1F)[C@H](C)CN([C@@H](C)CO)C(=O)Nc2ccc(cc2)C(F)(F)F,0
60190059,C\C=C\c1ccc(cc1)[C@H]2[C@@H](CO)N(CC3CC3)C24CN(C4)C(=O)c5ccc6OCOc6c5,0
54649760,CO[C@@H]1CC[C@@H]2CCN(C)C(=O)CCCN(C)C(=O)c3cccc(C#N)c3OC[C@@H]1O2,0
54657514,O[C@@H]1COC[C@H]2O[C@H](CC(=O)NCC3CCCCC3)CC[C@@H]2N(CCC(F)(F)F)C1,0
5310993,Cc1cnc(c[n+]1[O-])C(=O)O,0
54626033,C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccc(F)cc2)Oc3ncc(cc3C1=O)c4ccccc4F,0
54618547,C[C@H](O)C#Cc1cnc2O[C@H](CN(C)CC3CCOCC3)[C@@H](C)CN([C@@H](C)CO)C(=O)c2c1,0
54665025,OC[C@H]1Nc2ccc(cc2[C@@H]3[C@H]1CCN3C(=O)c4ccccc4F)c5cccc(c5)C#N,0
44483163,O=C(Nc1cccc2cccnc12)c3ccc(cc3)N4C(=O)[C@@H]5[C@H]6C[C@H](C=C6)[C@@H]5C4=O,0
54631297,CO[C@H]1CN(C)C(=O)c2ccc(NC(=O)Nc3ccccc3Cl)cc2OC[C@H](C)NC[C@H]1C,0
54625139,CCC(=O)N(C)C[C@H]1Oc2cc(ccc2S(=O)(=O)N(C[C@@H]1C)[C@@H](C)CO)C3=CCCC3,0
54646232,C[C@H](NC(=O)C[C@@H]1C[C@@H]2[C@@H](Oc3ccc(NC(=O)Nc4ccc(cc4)C(F)(F)F)cc23)[C@H](CO)O1)c5ccccc5,0
54650185,CCCNC(=O)N1[C@@H](CO)[C@@H]([C@H]1C#N)c2ccc(cc2)C3=CCCCC3,0
5065494,CC1CCCCC1NC(=O)c2cnn3c(cc(nc23)c4ccccc4)C(F)(F)F,0
44490402,CC(C)NC(=O)N(C)C[C@@H]1OCCCC[C@@H](C)Oc2ccc(cc2C(=O)N(C[C@H]1C)[C@@H](C)CO)N(C)C,0
60190965,OC[C@@H]1[C@@H]([C@@H]2CN(CC(=O)N12)C(=O)c3cnccn3)c4ccc(cc4)c5cccc(F)c5,0
54637819,C[C@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)Nc2c(C)onc2C)OCc3ccccc3c4c(C1=O)n(C)c5ccccc45,0
9932888,C[C@]12OC(C[C@]1(O)CO)n3c4ccccc4c5c6C(=O)NCc6c7c8ccccc8n2c7c35,0
1775,O=C1NC(=O)C(N1)(c2ccccc2)c3ccccc3,1
44491382,COc1ccc(cc1)S(=O)(=O)N(C)C[C@H]2Oc3c(NC(=O)C4CCOCC4)cccc3C(=O)N(C[C@H]2C)[C@H](C)CO,0
2799,CC(C)(C)CC(C)(C)c1ccc(O)c(Cc2ccc(Cl)cc2Cl)c1,0
54657563,COc1ccc(CN2C[C@@H](O)COC[C@@H]3O[C@@H](CC(=O)NCCN4CCCC4)CC[C@@H]23)cc1,0
44486395,C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)C(=O)Nc2cccc3ccccc23)OCCCC[C@@H](C)Oc4ccc(NC(=O)c5ccncc5)cc4C1=O,0
54664969,OC[C@H]1Nc2ccc(cc2[C@@H]3[C@H]1CCN3C(=O)C4CCCCC4)c5ccc(cc5)C#N,0
54646469,C[C@H](NC(=O)C[C@H]1C[C@H]2[C@H](Oc3ccc(NC(=O)C4CCOCC4)cc23)[C@@H](CO)O1)c5ccccc5,0
24747181,CCCOc1ccc(Cl)cc1Nc2nc(NCCO)nc(n2)N3CCCC3,0
54631795,CCC(=O)N1C[C@H](C)[C@@H](CN(C)C(=O)c2ccc(NC(=O)Nc3ccc(Cl)cc3)cc2OC[C@@H]1C)OC,0
